-899648.09,-1583989.09,-957.82,-321.6,784.55,-1639009.51,-915060.6,-42268.93
-899662.58,-1584016.72,-935.82,-306.58,784.81,-1639033.39,-915051.49,-42301.39
-899698.79,-1584042.73,-940.11,-315.7,810.56,-1639057.53,-915111.83,-42254.45
-899743.58,-1584068.48,-965.06,-327.77,818.88,-1639080.59,-915223.68,-42175.86
-899773.35,-1584096.38,-975.79,-337.96,795.81,-1639105.81,-915236.56,-42195.44
-899648.09,-1583989.09,-957.82,-321.6,784.55,-1639009.51,-915060.6,-42268.93
-899662.58,-1584016.72,-935.82,-306.58,784.81,-1639033.39,-915051.49,-42301.39
-899698.79,-1584042.73,-940.11,-315.7,810.56,-1639057.53,-915111.83,-42254.45
-899743.58,-1584068.48,-965.06,-327.77,818.88,-1639080.59,-915223.68,-42175.86
-899773.35,-1584096.38,-975.79,-337.96,795.81,-1639105.81,-915236.56,-42195.44
-899785.96,-1584122.13,-974.18,-312.21,777.57,-1639130.48,-915139.73,-42251.23
-899802.05,-1584148.14,-970.42,-299.87,774.89,-1639153.55,-915115.05,-42263.57
-899837.19,-1584174.43,-975.25,-314.35,784.28,-1639178.49,-915239.24,-42226.29
-899875.55,-1584200.72,-996.44,-335.28,783.21,-1639202.9,-915315.41,-42146.89
-899911.49,-1584226.73,-1013.07,-321.06,775.69,-1639225.43,-915343.85,-42128.12
-899785.96,-1584122.13,-974.18,-312.21,777.57,-1639130.48,-915139.73,-42251.23
-899802.05,-1584148.14,-970.42,-299.87,774.89,-1639153.55,-915115.05,-42263.57
-899837.19,-1584174.43,-975.25,-314.35,784.28,-1639178.49,-915239.24,-42226.29
-899875.55,-1584200.72,-996.44,-335.28,783.21,-1639202.9,-915315.41,-42146.89
-899911.49,-1584226.73,-1013.07,-321.06,775.69,-1639225.43,-915343.85,-42128.12
-899925.97,-1584254.63,-1002.34,-292.36,760.67,-1639251.45,-915314.34,-42211.54
-899935.09,-1584280.64,-991.08,-296.38,752.63,-1639276.13,-915236.02,-42269.74
-899969.42,-1584307.2,-991.88,-309.8,759.33,-1639299.73,-915310.59,-42233.53
-900016.09,-1584335.63,-1012.0,-335.81,768.45,-1639325.75,-915417.07,-42121.41
-900043.18,-1584362.45,-1025.95,-359.95,760.14,-1639349.89,-915435.85,-42113.37
-899925.97,-1584254.63,-1002.34,-292.36,760.67,-1639251.45,-915314.34,-42211.54
-899935.09,-1584280.64,-991.08,-296.38,752.63,-1639276.13,-915236.02,-42269.74
-899969.42,-1584307.2,-991.88,-309.8,759.33,-1639299.73,-915310.59,-42233.53
-900016.09,-1584335.63,-1012.0,-335.81,768.45,-1639325.75,-915417.07,-42121.41
-900043.18,-1584362.45,-1025.95,-359.95,760.14,-1639349.89,-915435.85,-42113.37
