-555234.2,-1210970.5,-1136.45,-33274.68,740.56,-1289355.38,-640386.02,-41269.54
-555252.17,-1210998.67,-1131.89,-33241.69,721.78,-1289382.21,-640387.9,-41333.65
-555262.09,-1211027.63,-1109.36,-33192.87,716.95,-1289409.57,-640402.12,-41362.35
-555290.79,-1211059.55,-1095.41,-33166.05,739.75,-1289438.53,-640471.32,-41314.6
-555329.95,-1211091.2,-1109.09,-33183.22,755.85,-1289468.57,-640509.94,-41281.34
-555234.2,-1210970.5,-1136.45,-33274.68,740.56,-1289355.38,-640386.02,-41269.54
-555252.17,-1210998.67,-1131.89,-33241.69,721.78,-1289382.21,-640387.9,-41333.65
-555262.09,-1211027.63,-1109.36,-33192.87,716.95,-1289409.57,-640402.12,-41362.35
-555290.79,-1211059.55,-1095.41,-33166.05,739.75,-1289438.53,-640471.32,-41314.6
-555329.95,-1211091.2,-1109.09,-33183.22,755.85,-1289468.57,-640509.94,-41281.34
-555368.84,-1211123.12,-1125.19,-33155.86,737.88,-1289497.27,-640545.61,-41285.9
-555380.91,-1211153.97,-1123.58,-33152.37,711.05,-1289526.24,-640494.65,-41375.76
-555386.01,-1211182.93,-1100.24,-33128.77,705.15,-1289553.6,-640380.39,-41417.33
-555417.66,-1211214.32,-1087.37,-33114.82,719.9,-1289583.1,-640432.16,-41379.51
-555473.45,-1211246.5,-1097.02,-33116.7,729.29,-1289612.07,-640583.97,-41303.07
-555368.84,-1211123.12,-1125.19,-33155.86,737.88,-1289497.27,-640545.61,-41285.9
-555380.91,-1211153.97,-1123.58,-33152.37,711.05,-1289526.24,-640494.65,-41375.76
-555386.01,-1211182.93,-1100.24,-33128.77,705.15,-1289553.6,-640380.39,-41417.33
-555417.66,-1211214.32,-1087.37,-33114.82,719.9,-1289583.1,-640432.16,-41379.51
-555473.45,-1211246.5,-1097.02,-33116.7,729.29,-1289612.07,-640583.97,-41303.07
-555508.86,-1211277.62,-1108.56,-33141.11,722.59,-1289641.04,-640636.01,-41304.95
-555518.78,-1211306.85,-1104.8,-33138.69,709.98,-1289669.47,-640604.89,-41384.88
-555522.53,-1211337.16,-1098.1,-33107.58,710.79,-1289697.9,-640521.48,-41431.82
-555548.55,-1211367.47,-1095.15,-33094.17,721.25,-1289727.14,-640557.15,-41399.9
-555600.32,-1211398.32,-1111.24,-33112.95,738.14,-1289754.23,-640687.77,-41308.17
-555508.86,-1211277.62,-1108.56,-33141.11,722.59,-1289641.04,-640636.01,-41304.95
-555518.78,-1211306.85,-1104.8,-33138.69,709.98,-1289669.47,-640604.89,-41384.88
-555522.53,-1211337.16,-1098.1,-33107.58,710.79,-1289697.9,-640521.48,-41431.82
-555548.55,-1211367.47,-1095.15,-33094.17,721.25,-1289727.14,-640557.15,-41399.9
-555600.32,-1211398.32,-1111.24,-33112.95,738.14,-1289754.23,-640687.77,-41308.17
-555632.77,-1211431.31,-1130.55,-33154.52,735.19,-1289784.27,-640707.89,-41315.14
-555641.62,-1211462.42,-1126.8,-33141.38,712.39,-1289813.24,-640644.32,-41400.44
-555645.92,-1211491.93,-1120.09,-33104.36,710.52,-1289841.13,-640553.93,-41451.4
-555668.98,-1211523.84,-1114.73,-33091.49,716.42,-1289871.44,-640667.92,-41417.33
-555717.53,-1211557.91,-1125.19,-33081.03,727.95,-1289903.36,-640780.04,-41337.13
-555632.77,-1211431.31,-1130.55,-33154.52,735.19,-1289784.27,-640707.89,-41315.14
-555641.62,-1211462.42,-1126.8,-33141.38,712.39,-1289813.24,-640644.32,-41400.44
-555645.92,-1211491.93,-1120.09,-33104.36,710.52,-1289841.13,-640553.93,-41451.4
-555668.98,-1211523.84,-1114.73,-33091.49,716.42,-1289871.44,-640667.92,-41417.33
-555717.53,-1211557.91,-1125.19,-33081.03,727.95,-1289903.36,-640780.04,-41337.13
-555758.03,-1211589.29,-1138.33,-33079.95,719.1,-1289932.33,-640821.61,-41315.41
-555763.13,-1211618.26,-1128.14,-33074.32,696.03,-1289958.61,-640784.33,-41418.41
-555776,-1211648.83,-1107.75,-33057.42,701.13,-1289988.12,-640672.48,-41458.64
-555805.24,-1211680.22,-1092.73,-33043.21,717.22,-1290018.69,-640754.83,-41404.46
-555851.91,-1211712.13,-1109.9,-33057.96,734.93,-1290049,-640887.86,-41332.04
-555758.03,-1211589.29,-1138.33,-33079.95,719.1,-1289932.33,-640821.61,-41315.41
-555763.13,-1211618.26,-1128.14,-33074.32,696.03,-1289958.61,-640784.33,-41418.41
-555776,-1211648.83,-1107.75,-33057.42,701.13,-1289988.12,-640672.48,-41458.64
-555805.24,-1211680.22,-1092.73,-33043.21,717.22,-1290018.69,-640754.83,-41404.46
-555851.91,-1211712.13,-1109.9,-33057.96,734.93,-1290049,-640887.86,-41332.04
-555884.9,-1211742.18,-1134.57,-33075.39,729.29,-1290077.7,-640923.54,-41331.5
-555896.7,-1211769,-1132.43,-33040.79,708.37,-1290104.26,-640889.47,-41387.29
-555903.68,-1211797.97,-1119.02,-33003.24,691.47,-1290131.62,-640872.31,-41433.43
-555929.16,-1211829.88,-1108.29,-32992.25,696.03,-1290161.92,-640932.93,-41407.95
-555974.76,-1211863.68,-1123.04,-33018.8,711.05,-1290194.11,-641009.1,-41336.06
-555884.9,-1211742.18,-1134.57,-33075.39,729.29,-1290077.7,-640923.54,-41331.5
-555896.7,-1211769,-1132.43,-33040.79,708.37,-1290104.26,-640889.47,-41387.29
-555903.68,-1211797.97,-1119.02,-33003.24,691.47,-1290131.62,-640872.31,-41433.43
